Identificador,Gis_X,Gis_Y,Fecha de Alta,Distrito,Barrio,Nº Finca,Tipo de Reserva,Puestos,LATITUD,LONGITUD,DIRECCIÓN,C.P.,POBLACION,PROVINCIA,Fichas,Línea / Batería,LongitudP,Horario
05.06 a,"441672,3400000000","4479113,9300000000",40360,05  CHAMARTÍN,05-05 NUEVA ESPAÑA,29,Taxi,2,40.4606481,-3.6879586,"DOCTOR FLEMING, CALLE, DEL, 29",,,,,Línea,"10,00",
05.06 b,"441657,2600000000","4479102,1100000000",42018,05  CHAMARTÍN,05-05 NUEVA ESPAÑA,7,Taxi,4,40.4605405,-3.6881354,"JUAN HURTADO DE MENDOZA, CALLE, DE, 7",,,,,Batería,"8,60",
05.07,"443210,9600000000","4477114,8800000000",36627,05  CHAMARTÍN,05-02 PROSPERIDAD,26,Taxi,5,40.4427462,-3.6696334,"CLARA DEL REY, CALLE, DE, 26",,,,,Línea,"23,30",
05.08,"442451,6300000000","4476946,1500000000",40800,05  CHAMARTÍN,05-02 PROSPERIDAD,122,Taxi,2,40.441174,-3.6785713,"PRINCIPE DE VERGARA, CALLE, DEL, 122",,,,,Línea,"24,50",
05.15,"441860,3400000000","4478842,0100000000",41983,05  CHAMARTÍN,05-04 HISPANOAMÉRICA,23,Taxi,3,40.4582117,-3.6857165,"PADRE DAMIAN, CALLE, DEL, 23",,,,,Línea,"15,00",
05.16,"442591,9400000000","4478857,2000000000",1,05  CHAMARTÍN,05-04 HISPANOAMÉRICA,1,Taxi,4,40.4583994,-3.6770897,"REPUBLICA DOMINICANA, PLAZA, DE LA, 1",,,,,Línea,"21,00",
05.17,"443022,0400000000","4478665,1700000000",37760,05  CHAMARTÍN,05-04 HISPANOAMÉRICA,37,Taxi,4,40.4566991,-3.6720001,"VICTOR DE LA SERNA, CALLE, DE, 37",,,,,Línea,"20,00",
05.18,"442396,9900000000","4478345,0700000000",37073,05  CHAMARTÍN,05-04 HISPANOAMÉRICA,211,Taxi,4,40.4537724,-3.6793424,"SERRANO, CALLE, DE, 211",,,,,Línea,"20,00",
05.19,"441926,2900000000","4480246,3100000000",1,05  CHAMARTÍN,05-06 CASTILLA,27,Taxi,5,40.4708668,-3.6850672,"AGUSTIN DE FOXA, CALLE, DE, 27",,,,,Línea,"25,00",
05.22 a,"441518,5600000000","4478585,8100000000",38385,05  CHAMARTÍN,05-04 HISPANOAMÉRICA,152,Taxi,3,40.4558797,-3.6897236,"CASTELLANA, PASEO, DE LA, 152",,,,,Línea,"5,40",
